# Author: Rob Graves
# Date: Wed Feb 09 12:45:58 PST 2011
#
# 3D Models:
# 	CVM-S4 (version4.0-IO_patch)
# 	CVM-H11.1.0 (vx_lite)
#
# Data fields are TAB-separated, <-99999> indicates no valid data
#
# Column 1: Station Name
# Column 2: Station ID  No.
# Column 3: Owner
# Column 4: Station Latitude
# Column 5: Station Longitude
# Column 6: CVM-S4 Minimum depth (in meters) to Vs=1000 m/s
# Column 7: CVM-S4 Maximum depth (in meters) to Vs=1000 m/s
# Column 8: CVM-S4 Minimum depth (in meters) to Vs=2500 m/s
# Column 9: CVM-S4 Maximum depth (in meters) to Vs=2500 m/s
# Column 10: CVM-H11.1.0 Minimum depth (in meters) to Vs=1000 m/s
# Column 11: CVM-H11.1.0 Maximum depth (in meters) to Vs=1000 m/s
# Column 12: CVM-H11.1.0 Minimum depth (in meters) to Vs=2500 m/s
# Column 13: CVM-H11.1.0 Maximum depth (in meters) to Vs=2500 m/s
#
El Centro Array #9	117	USGS	32.794	-115.549	960	960	3340	5320	1440	1440	3140	3140
LA - Hollywood Stor FF	24303	CDMG	34.09	-118.339	320	320	2180	5140	260	260	2540	2540
Pasadena - CIT Athenaeum	80053	CIT	34.139	-118.121	320	320	1680	1680	80	80	1100	1100
Santa Barbara Courthouse	283	USGS	34.423	-119.7	-99999	-99999	-99999	-99999	1380	1380	3980	3980
Taft Lincoln School	1095	USGS	35.15	-119.46	-99999	-99999	2300	2300	80	80	3840	3840
San Luis Obispo	1083	USGS	35.285	-120.661	-99999	-99999	-99999	-99999	40	40	280	280
Cholame - Shandon Array #12	1016	CDMG	35.639	-120.404	-99999	-99999	-99999	-99999	80	80	3400	3400
Cholame - Shandon Array #2	1013	CDMG	35.733	-120.29	-99999	-99999	1060	1060	80	80	4220	4220
Cholame - Shandon Array #5	1014	CDMG	35.697	-120.328	-99999	-99999	1080	1080	80	80	4420	4420
Cholame - Shandon Array #8	1015	CDMG	35.671	-120.359	-99999	-99999	-99999	-99999	80	80	4120	4120
Temblor pre-1969	1438	CDMG	35.71	-120.17	-99999	-99999	-99999	-99999	40	40	4120	4120
LB - Terminal Island	130	USGS	33.77	-118.23	420	420	2340	3520	140	140	2260	2260
San Onofre - So Cal Edison	280	SCE	33.37	-117.56	-99999	-99999	2440	2440	120	120	960	960
Castaic - Old Ridge Route	24278	CDMG	34.564	-118.642	320	320	1520	1520	820	820	1620	1620
Cedar Springs Pumphouse	112	CDWR	34.31	-117.3	-99999	-99999	-99999	-99999	40	40	220	220
"Cedar Springs, Allen Ranch"	111	CDWR	34.2778	-117.335	-99999	-99999	-99999	-99999	40	40	220	220
Colton - So Cal Edison	113	USGS	34.059	-117.312	320	320	580	580	80	80	340	340
Devil''s Canyon	620	CDWR	34.21	-117.33	-99999	-99999	-99999	-99999	40	40	260	260
Lake Hughes #1	24271	CDMG	34.674	-118.43	-99999	-99999	-99999	-99999	40	40	240	240
Puddingstone Dam (Abutment)	278	CDMG	34.091	-117.808	320	320	320	320	60	60	320	320
Santa Anita Dam	104	LAFC	34.185	-118.018	20	20	320	320	40	40	1040	1040
Wrightwood - 6074 Park Dr	290	USGS	34.36	-117.63	-99999	-99999	-99999	-99999	60	60	260	260
2516 Via Tejon PV	411	USGS	33.801	-118.387	320	320	780	780	100	100	640	640
Anza Post Office	103	CIT	33.5556	-116.674	-99999	-99999	-99999	-99999	60	60	300	300
Bakersfield - Harvey Aud	1004	USGS	35.37	-119.021	-99999	-99999	-99999	-99999	80	80	1680	1680
Borrego Springs Fire Sta	105	USGS	33.26	-116.37	140	140	140	140	80	80	300	300
Buena Vista - Taft	1	USGS	35.16	-119.35	-99999	-99999	2000	2000	60	60	4300	4300
Carbon Canyon Dam	108	ACOE	33.9121	-117.838	360	360	3020	3020	700	700	4400	4400
Fairmont Dam	121	CDMG	34.704	-118.426	-99999	-99999	-99999	-99999	40	40	240	240
Fort Tejon	998	USGS	34.87	-118.9	-99999	-99999	-99999	-99999	40	40	260	260
Gormon - Oso Pump Plant	994	CDWR	34.808	-118.72	-99999	-99999	-99999	-99999	60	60	280	280
Hemet Fire Station	12331	CDMG	33.729	-116.979	-99999	-99999	-99999	-99999	60	60	280	280
Isabella Dam (Aux Abut)	1035	ACOE	35.644	-118.474	-99999	-99999	-99999	-99999	40	40	200	200
Lake Hughes #12	128	USGS	34.571	-118.56	20	320	320	320	80	80	880	880
Lake Hughes #4	126	CDMG	34.65	-118.478	-99999	-99999	-99999	-99999	40	40	240	240
Lake Hughes #9	127	USGS	34.608	-118.558	20	20	320	320	40	40	220	220
Maricopa Array #1	1041	CDWR	35.997	-119.486	-99999	-99999	-99999	-99999	60	60	240	240
Maricopa Array #2	1042	CDWR	35.04	-119.429	-99999	-99999	4540	4540	60	60	3960	3960
Maricopa Array #3	1043	CDWR	35.078	-119.401	-99999	-99999	4500	4500	80	80	4000	4000
Pacoima Dam (upper left abut)	279	CDMG	34.334	-118.396	20	20	320	3080	40	40	280	280
Palmdale Fire Station	262	USGS	34.58	-118.11	-99999	-99999	-99999	-99999	60	60	240	240
Pasadena - Old Seismo Lab	266	USGS	34.1486	-118.171	20	20	320	320	40	40	300	300
Pearblossom Pump	269	CDWR	34.5083	-117.922	-99999	-99999	-99999	-99999	60	60	240	240
Port Hueneme	272	CDMG	34.145	-119.206	520	520	2140	2140	760	760	4560	4560
San Diego Gas & Electric	314	USGS	32.719	-117.163	-99999	-99999	-99999	-99999	60	60	240	240
San Juan Capistrano	465	USGS	33.4894	-117.671	-99999	-99999	1960	1960	780	780	3480	3480
Santa Felita Dam (Outlet)	285	CDMG	34.46	-118.753	320	320	2640	2640	860	860	4260	4260
Tehachapi Pump	1027	CDWR	34.9417	-118.827	-99999	-99999	-99999	-99999	80	80	400	600
UCSB - Fluid Mech Lab	282	USGS	34.41	-119.85	-99999	-99999	-99999	-99999	860	860	3760	3760
Upland - San Antonio Dam	287	ACOE	34.155	-117.675	320	320	320	320	120	820	1020	1020
Wheeler Ridge - Ground	1102	CDWR	35.027	-118.791	-99999	-99999	-99999	-99999	80	80	660	960
Whittier Narrows Dam	289	USGS	34.02	-118.053	40	400	2900	5020	1420	1420	4620	4620
Cachuma Dam Toe	106	USGS	34.58	-119.98	-99999	-99999	-99999	-99999	600	800	2300	2300
Aeropuerto Mexicali	6616	UNAMUCSD	32.651	-115.332	920	920	3200	3200	1560	1560	3460	3460
Agrarias	6618	UNAMUCSD	32.621	-115.301	900	900	3120	3120	1660	1660	3860	3860
Bonds Corner	5054	USGS	32.6932	-115.338	960	960	3320	3320	1460	1460	3260	3260
Brawley Airport	5060	USGS	32.991	-115.513	1020	1020	3540	3540	1620	1620	3820	3820
Calexico Fire Station	5053	USGS	32.6695	-115.493	880	880	3040	3040	1360	1360	3060	3060
Calipatria Fire Station	5061	USGS	33.1266	-115.516	1000	1000	3440	3440	1300	1300	3100	3100
Cerro Prieto	6604	UNAMUCSD	32.421	-115.301	500	500	500	500	1300	1300	2900	2900
Chihuahua	6621	UNAMUCSD	32.484	-115.24	680	680	2320	2320	1760	1760	4060	4060
Coachella Canal #4	5066	USGS	33.36	-115.59	420	420	420	420	760	760	1160	1160
Compuertas	6622	UNAMUCSD	32.573	-115.083	760	760	2640	2640	2180	2180	4880	4880
Cucapah	6617	UNAMUCSD	32.545	-115.235	840	840	2880	2880	2180	2180	4980	4980
Delta	6605	UNAMUCSD	32.356	-115.195	2100	2100	2260	2260	1460	1460	3160	3160
EC County Center FF	1136	CDMG	32.793	-115.562	960	960	3320	5320	1440	1440	3140	3140
EC Meloland Overpass FF	1336	CDMG	32.773	-115.447	900	900	3120	5240	1360	1360	3060	3060
El Centro Array #1	5056	USGS	32.96	-115.319	880	880	3040	3040	1260	1260	2860	2860
El Centro Array #10	412	USGS	32.781	-115.536	960	960	3300	5240	1340	1340	3040	3040
El Centro Array #11	5058	USGS	32.752	-115.594	960	960	3340	3340	1460	1460	3260	3260
